id,token,pos,class,meaning,idiomliteral
,give,VB,,,
,you,PRP,,,
,6,CD,,,
,months,NNS,,,
,to,TO,,,
,clean,VB,,,
,up,RP,,,
,your,PRP$,,,
,act,NN,,,
,and,CC,,,
,then,RB,,,
,I,PRP,,,
,'ll,MD,,,
,come,VB,,,
,back,RB,,,
7593,I,PRP,Metaphor,,
,'m,VBP,,,
,going,VBG,,,
,to,TO,,,
,give,VB,,,
,you,PRP,,,
,6,CD,,,
,months,NNS,,,
,to,TO,,,
,clean,VB,,,
,up,RP,,,
,your,PRP$,,,
,act,NN,,,
7594,you,PRP,Metaphor,,
,have,VBP,,,
,6,CD,,,
,months,NNS,,,
,to,TO,,,
,clean,VB,,,
,up,RP,,,
,your,PRP$,,,
,act,NN,,,
7595,it,PRP,Metaphor,,
,'s,VBZ,,,
,resounding,VBG,,,
,clean,VB,,,
,up,RP,,,
,your,PRP$,,,
,act,NN,,,
,and,CC,,,
,clean,VB,,,
,up,RP,,,
,your,PRP$,,,
,code,NN,,,
7596,Beware,NNP,Metaphor,,
,of,IN,,,
,get-rich-quick,JJ,,,
,schemes,NNS,,,
,",",",",,,
,clean,VBP,,,
,up,RP,,,
,your,PRP$,,,
,act,NN,,,
,and,CC,,,
,invest,VB,,,
,in,IN,,,
,new,JJ,,,
,equipment,NN,,,
7597,Beware,NNP,Metaphor,,
,of,IN,,,
,get-rich-quick,JJ,,,
,schemes,NNS,,,
,",",",",,,
,clean,VBP,,,
,up,RP,,,
,your,PRP$,,,
,act,NN,,,
7598,clean,VB,Metaphor,,
,up,RP,,,
,your,PRP$,,,
,act,NN,,,
,and,CC,,,
,invest,VB,,,
,in,IN,,,
,new,JJ,,,
,equipment,NN,,,
7599,God,NNP,Metaphor,,
,'s,POS,,,
,message,NN,,,
,to,TO,,,
,you,PRP,,,
,is,VBZ,,,
,not,RB,,,
,first,JJ,,,
,and,CC,,,
,foremost,JJ,,,
,clean,VB,,,
,up,RP,,,
,your,PRP$,,,
,act,NN,,,
7600,first,RB,Metaphor,,
,and,CC,,,
,foremost,RB,,,
,clean,VB,,,
,up,RP,,,
,your,PRP$,,,
,act,NN,,,
7601,first,RB,Metaphor,,
,",",",",,,
,let,VB,,,
,her,PRP$,,,
,clean,JJ,,,
,up,IN,,,
,her,PRP$,,,
,act,NN,,,
7602,let,VB,Metaphor,,
,him,PRP,,,
,clean,VB,,,
,up,RP,,,
,his,PRP$,,,
,act,NN,,,
7603,they,PRP,Metaphor,,
,need,VBP,,,
,to,TO,,,
,clean,VB,,,
,up,RP,,,
,thier,JJR,,,
,act,NN,,,
7604,come,JJ,Metaphor,be completely honest,Yes
,clean,NN,,,
7605,will,MD,Metaphor,,
,a,DT,,,
,profession,NN,,,
,'s,POS,,,
,ruling,NN,,,
,body,NN,,,
,really,RB,,,
,come,JJ,,,
,clean,NN,,,
,about,IN,,,
,its,PRP$,,,
,members,NNS,,,
,',POS,,,
,income,NN,,,
,?,.,,,
7606,will,MD,Metaphor,,
,a,DT,,,
,profession,NN,,,
,'s,POS,,,
,ruling,NN,,,
,body,NN,,,
,really,RB,,,
,come,JJ,,,
,clean,NN,,,
,?,.,,,
7607,will,MD,Metaphor,,
,he,PRP,,,
,come,VB,,,
,clean,JJ,,,
,?,.,,,
7608,I,PRP,Metaphor,,
,'ve,VBP,,,
,come,VBN,,,
,clean,NN,,,
,.,.,,,
,That,DT,,,
,'s,VBZ,,,
,what,WP,,,
,happened,VBD,,,
7609,she,PRP,Metaphor,,
,needs,VBZ,,,
,to,TO,,,
,come,VB,,,
,clean,JJ,,,
7610,Come,JJ,Metaphor,,
,clean,NN,,,
,with,IN,,,
,me,PRP,,,
7611,the,DT,Metaphor,,
,Government,NNP,,,
,had,VBD,,,
,not,RB,,,
,come,VBN,,,
,clean,NN,,,
,at,IN,,,
,all,DT,,,
,on,IN,,,
,the,DT,,,
,issue,NN,,,
,of,IN,,,
,freight,NN,,,
7612,they,PRP,Metaphor,,
,had,VBD,,,
,not,RB,,,
,come,VBN,,,
,clean,NN,,,
,on,IN,,,
,the,DT,,,
,issue,NN,,,
7613,they,PRP,Metaphor,,
,should,MD,,,
,come,VB,,,
,clean,NN,,,
,and,CC,,,
,clarify,VB,,,
,in,IN,,,
,their,PRP$,,,
,own,JJ,,,
,minds,NNS,,,
7614,Why,WRB,Metaphor,,
,do,VBP,,,
,n't,RB,,,
,you,PRP,,,
,come,VB,,,
,clean,JJ,,,
,and,CC,,,
,tell,VB,,,
,the,DT,,,
,truth,NN,,,
,?,.,,,
7615,the,DT,Metaphor,,
,Government,NNP,,,
,should,MD,,,
,come,VB,,,
,clean,NN,,,
,on,IN,,,
,the,DT,,,
,financing,NN,,,
,of,IN,,,
,the,DT,,,
,project,NN,,,
7616,PM,NNP,Metaphor,,
,told,VBD,,,
,to,TO,,,
,come,VB,,,
,clean,JJ,,,
,over,IN,,,
,claim,NN,,,
,of,IN,,,
,sell-off,JJ,,,
,hitlist,NN,,,
7617,Time,NN,Metaphor,,
,to,TO,,,
,come,VB,,,
,clean,JJ,,,
7618,I,PRP,Metaphor,,
,got,VBD,,,
,ta,JJ,,,
,come,JJ,,,
,clean,NN,,,
,with,IN,,,
,you,PRP,,,
7619,they,PRP,Metaphor,,
,will,MD,,,
,not,RB,,,
,come,VB,,,
,clean,JJ,,,
,unless,IN,,,
,we,PRP,,,
,force,VBP,,,
,them,PRP,,,
7620,Patients,NNS,Literal,,
,are,VBP,,,
,expected,VBN,,,
,to,TO,,,
,come,VB,,,
,clean,JJ,,,
,and,CC,,,
,be,VB,,,
,provided,VBN,,,
,with,IN,,,
,a,DT,,,
,change,NN,,,
,of,IN,,,
,linen,NN,,,
7621,they,PRP,Literal,,
,are,VBP,,,
,expected,VBN,,,
,to,TO,,,
,come,VB,,,
,clean,NN,,,
,in,IN,,,
,their,PRP$,,,
,uniform,NN,,,
7622,come,JJ,Literal,,
,clean,NN,,,
,with,IN,,,
,mild,JJ,,,
,soaps,NNS,,,
,or,CC,,,
,non-soap,JJ,,,
,moisturising,NN,,,
,body,NN,,,
,shampoos,NN,,,
7623,come,JJ,Literal,,
,clean,NN,,,
,with,IN,,,
,mild,JJ,,,
,soaps,NNS,,,
7624,come,VBN,Literal,,
,clean,NN,,,
,after,IN,,,
,having,VBG,,,
,a,DT,,,
,bath,NN,,,
7625,they,PRP,Literal,,
,can,MD,,,
,come,VB,,,
,clean,JJ,,,
,with,IN,,,
,mild,JJ,,,
,soaps,NNS,,,
7626,make,VB,Metaphor,confess your mistakes,
,a,DT,,,
,clean,JJ,,,
,breast,NN,,,
,of,IN,,,
7627,no,DT,Metaphor,,
,matter,NN,,,
,how,WRB,,,
,conscience,NN,,,
,and,CC,,,
,love,VB,,,
,might,MD,,,
,insist,VB,,,
,that,IN,,,
,she,PRP,,,
,make,VB,,,
,a,DT,,,
,clean,JJ,,,
,breast,NN,,,
,of,IN,,,
,everything,NN,,,
7628,Malcolm,NNP,Metaphor,,
,Rifkind,NNP,,,
,must,MD,,,
,make,VB,,,
,a,DT,,,
,clean,JJ,,,
,breast,NN,,,
,of,IN,,,
,it,PRP,,,
,.,.,,,
7629,he,PRP,Metaphor,,
,must,MD,,,
,make,VB,,,
,a,DT,,,
,clean,JJ,,,
,breast,NN,,,
,of,IN,,,
,it,PRP,,,
7630,she,PRP,Metaphor,,
,has,VBZ,,,
,to,TO,,,
,make,VB,,,
,a,DT,,,
,clean,JJ,,,
,breast,NN,,,
,of,IN,,,
,it,PRP,,,
7631,I,PRP,Metaphor,,
,have,VBP,,,
,to,TO,,,
,make,VB,,,
,a,DT,,,
,clean,JJ,,,
,breast,NN,,,
,of,IN,,,
,it,PRP,,,
,all,DT,,,
7632,I,PRP,Metaphor,,
,dare,VBP,,,
,not,RB,,,
,deny,VB,,,
,it,PRP,,,
,",",",",,,
,or,CC,,,
,excuse,VB,,,
,it,PRP,,,
,;,:,,,
,I,PRP,,,
,make,VBP,,,
,a,DT,,,
,clean,JJ,,,
,breast,NN,,,
,of,IN,,,
,it,PRP,,,
,.,.,,,
,I,PRP,,,
,acknowledge,VBP,,,
,my,PRP$,,,
,transgressions,NNS,,,
7633,I,PRP,Metaphor,,
,make,VBP,,,
,a,DT,,,
,clean,JJ,,,
,breast,NN,,,
,of,IN,,,
,it,PRP,,,
,.,.,,,
,I,PRP,,,
,acknowledge,VBP,,,
,my,PRP$,,,
,transgressions,NNS,,,
7634,I,PRP,Metaphor,,
,make,VBP,,,
,a,DT,,,
,clean,JJ,,,
,breast,NN,,,
,of,IN,,,
,it,PRP,,,
7635,my,PRP$,Metaphor,,
,mother,NN,,,
,counselled,VBD,,,
,me,PRP,,,
,to,TO,,,
,go,VB,,,
,and,CC,,,
,make,VB,,,
,a,DT,,,
,clean,JJ,,,
,breast,NN,,,
,of,IN,,,
,it,PRP,,,
,to,TO,,,
,them,PRP,,,
,",",",",,,
,and,CC,,,
,plead,VB,,,
,to,TO,,,
,be,VB,,,
,pardoned,VBN,,,
7636,make,VB,Metaphor,,
,a,DT,,,
,clean,JJ,,,
,breast,NN,,,
,of,IN,,,
,it,PRP,,,
,to,TO,,,
,them,PRP,,,
7637,it,PRP,Metaphor,,
,'s,VBZ,,,
,only,RB,,,
,any,DT,,,
,good,JJ,,,
,for,IN,,,
,us,PRP,,,
,if,IN,,,
,we,PRP,,,
,truly,VBP,,,
,want,JJ,,,
,to,TO,,,
,make,VB,,,
,a,DT,,,
,clean,JJ,,,
,breast,NN,,,
,of,IN,,,
,our,PRP$,,,
,sins,NNS,,,
7638,they,PRP,Metaphor,,
,told,VBD,,,
,me,PRP,,,
,to,TO,,,
,answer,VB,,,
,all,PDT,,,
,the,DT,,,
,questions,NNS,,,
,you,PRP,,,
,might,MD,,,
,put,VB,,,
,to,TO,,,
,me,PRP,,,
,-,:,,,
,to,TO,,,
,make,VB,,,
,a,DT,,,
,clean,JJ,,,
,breast,NN,,,
,of,IN,,,
,it,PRP,,,
7639,Your,PRP$,Metaphor,,
,best,JJS,,,
,way,NN,,,
,is,VBZ,,,
,to,TO,,,
,make,VB,,,
,a,DT,,,
,clean,JJ,,,
,breast,NN,,,
,of,IN,,,
,the,DT,,,
,facts,NNS,,,
7640,I,PRP,Metaphor,,
,will,MD,,,
,make,VB,,,
,a,DT,,,
,clean,JJ,,,
,breast,NN,,,
,of,IN,,,
,it,PRP,,,
7641,I,PRP,Metaphor,,
,made,VBD,,,
,a,DT,,,
,clean,JJ,,,
,breast,NN,,,
,of,IN,,,
,it,PRP,,,
7642,make,VB,Metaphor,remove what's unwanted,
,a,DT,,,
,clean,JJ,,,
,sweep,NN,,,
7643,Its,PRP$,Metaphor,,
,influence,NN,,,
,was,VBD,,,
,slow,JJ,,,
,to,TO,,,
,make,VB,,,
,itself,PRP,,,
,felt,VBN,,,
,",",",",,,
,and,CC,,,
,it,PRP,,,
,did,VBD,,,
,not,RB,,,
,make,VB,,,
,a,DT,,,
,clean,JJ,,,
,sweep,NN,,,
,of,IN,,,
,Western,JJ,,,
,monasticism,NN,,,
7644,it,PRP,Metaphor,,
,did,VBD,,,
,not,RB,,,
,make,VB,,,
,a,DT,,,
,clean,JJ,,,
,sweep,NN,,,
,of,IN,,,
,Western,JJ,,,
,monasticism,NN,,,
7645,it,PRP,Metaphor,,
,will,MD,,,
,make,VB,,,
,a,DT,,,
,clean,JJ,,,
,sweep,NN,,,
,of,IN,,,
,it,PRP,,,
7646,many,JJ,Metaphor,,
,Soviet,JJ,,,
,communists,NNS,,,
,wanted,VBD,,,
,to,TO,,,
,make,VB,,,
,a,DT,,,
,clean,JJ,,,
,sweep,NN,,,
,of,IN,,,
,the,DT,,,
,discredited,VBN,,,
,old,JJ,,,
,order,NN,,,
7647,many,JJ,Metaphor,,
,Soviet,JJ,,,
,communists,NNS,,,
,wanted,VBD,,,
,to,TO,,,
,make,VB,,,
,a,DT,,,
,clean,JJ,,,
,sweep,NN,,,
,of,IN,,,
,the,DT,,,
,discredited,VBN,,,
,old,JJ,,,
,order,NN,,,
7648,they,PRP,Metaphor,,
,wanted,VBD,,,
,to,TO,,,
,make,VB,,,
,a,DT,,,
,clean,JJ,,,
,sweep,NN,,,
,of,IN,,,
,it,PRP,,,
7649,Hoping,VBG,Metaphor,,
,he,PRP,,,
,had,VBD,,,
,decided,VBN,,,
,to,TO,,,
,make,VB,,,
,a,DT,,,
,clean,JJ,,,
,sweep,NN,,,
,and,CC,,,
,tell,VB,,,
,Marc,NNP,,,
,everything,NN,,,
,",",",",,,
,Sarella,NNP,,,
,waited,VBD,,,
,to,TO,,,
,hear,VB,,,
,what,WP,,,
,he,PRP,,,
,had,VBD,,,
,to,TO,,,
,say,VB,,,
7650,Hoping,VBG,Metaphor,,
,he,PRP,,,
,had,VBD,,,
,decided,VBN,,,
,to,TO,,,
,make,VB,,,
,a,DT,,,
,clean,JJ,,,
,sweep,NN,,,
7651,the,DT,Metaphor,,
,police,NN,,,
,who,WP,,,
,might,MD,,,
,otherwise,RB,,,
,",",",",,,
,simply,RB,,,
,on,IN,,,
,the,DT,,,
,grounds,NNS,,,
,of,IN,,,
,suspicion,NN,,,
,",",",",,,
,make,VB,,,
,a,DT,,,
,``,``,,,
,clean,JJ,,,
,sweep,NN,,,
,'','',,,
,of,IN,,,
,all,DT,,,
,known,VBN,,,
,criminals,NNS,,,
7652,the,DT,Metaphor,,
,police,NN,,,
,made,VBD,,,
,a,DT,,,
,``,``,,,
,clean,JJ,,,
,sweep,NN,,,
,'','',,,
,of,IN,,,
,all,DT,,,
,known,VBN,,,
,criminals,NNS,,,
7653,Now,RB,Metaphor,,
,is,VBZ,,,
,the,DT,,,
,time,NN,,,
,to,TO,,,
,make,VB,,,
,a,DT,,,
,clean,JJ,,,
,sweep,NN,,,
,of,IN,,,
,all,PDT,,,
,the,DT,,,
,jobs,NNS,,,
,you,PRP,,,
,put,VBP,,,
,off,RP,,,
7654,Now,RB,Metaphor,,
,is,VBZ,,,
,the,DT,,,
,time,NN,,,
,to,TO,,,
,make,VB,,,
,a,DT,,,
,clean,JJ,,,
,sweep,NN,,,
,of,IN,,,
,all,PDT,,,
,the,DT,,,
,jobs,NNS,,,
7655,Make,VB,Metaphor,,
,a,DT,,,
,clean,JJ,,,
,sweep,NN,,,
,of,IN,,,
,leaves,NNS,,,
,this,DT,,,
,winter,NN,,,
,with,IN,,,
,the,DT,,,
,AL-KO,NNP,,,
,Blower,NNP,,,
7656,will,MD,Metaphor,,
,you,PRP,,,
,make,VB,,,
,a,DT,,,
,clean,JJ,,,
,sweep,NN,,,
,of,IN,,,
,all,PDT,,,
,those,DT,,,
,by,IN,,,
,noon,NN,,,
7657,consider,VB,Metaphor,,
,making,VBG,,,
,a,DT,,,
,clean,JJ,,,
,sweep,NN,,,
,of,IN,,,
,them,PRP,,,
7658,clear,JJ,Metaphor,clarify from confusion,
,the,DT,,,
,air,NN,,,
7659,Bateson,NNP,Metaphor,,
,emerged,VBD,,,
,from,IN,,,
,yesterday,NN,,,
,'s,POS,,,
,clear-the-air,JJ,,,
,meeting,NN,,,
,with,IN,,,
,Fashanu,NNP,,,
7660,Wilkinson,NNP,Metaphor,,
,has,VBZ,,,
,demanded,VBN,,,
,``,``,,,
,clear,JJ,,,
,the,DT,,,
,air,NN,,,
,'','',,,
,talks,NNS,,,
,with,IN,,,
,the,DT,,,
,board,NN,,,
7661,He,PRP,Metaphor,,
,is,VBZ,,,
,determined,VBN,,,
,to,TO,,,
,have,VB,,,
,a,DT,,,
,clear-the-air,JJ,,,
,meeting,NN,,,
,with,IN,,,
,Murray,NNP,,,
7662,He,PRP,Metaphor,,
,is,VBZ,,,
,determined,VBN,,,
,to,TO,,,
,have,VB,,,
,a,DT,,,
,clear-the-air,JJ,,,
,meeting,NN,,,
7663,they,PRP,Metaphor,,
,had,VBD,,,
,attempted,VBN,,,
,to,TO,,,
,resolve,VB,,,
,their,PRP$,,,
,differences,NNS,,,
,and,CC,,,
,clear,VB,,,
,the,DT,,,
,air,NN,,,
7664,we,PRP,Metaphor,,
,need,VBP,,,
,a,DT,,,
,meeting,NN,,,
,to,TO,,,
,clear,VB,,,
,the,DT,,,
,air,NN,,,
7665,You,PRP,Metaphor,,
,need,VBP,,,
,to,TO,,,
,clear,VB,,,
,the,DT,,,
,air,NN,,,
,and,CC,,,
,get,VB,,,
,deep,JJ,,,
,seated,VBN,,,
,anxieties,NNS,,,
,and,CC,,,
,worries,NNS,,,
,off,IN,,,
,your,PRP$,,,
,chest,NN,,,
7666,You,PRP,Metaphor,,
,need,VBP,,,
,to,TO,,,
,clear,VB,,,
,the,DT,,,
,air,NN,,,
7667,It,PRP,Metaphor,,
,'s,VBZ,,,
,fine,JJ,,,
,to,TO,,,
,assert,VB,,,
,yourself,PRP,,,
,",",",",,,
,to,TO,,,
,demand,VB,,,
,",",",",,,
,to,TO,,,
,challenge,VB,,,
,",",",",,,
,to,TO,,,
,clear,VB,,,
,the,DT,,,
,air,NN,,,
7668,a,DT,Metaphor,,
,row,NN,,,
,can,MD,,,
,help,VB,,,
,clear,VB,,,
,the,DT,,,
,air,NN,,,
7669,his,PRP$,Metaphor,,
,chairman,NN,,,
,refused,VBD,,,
,to,TO,,,
,clear,VB,,,
,the,DT,,,
,air,NN,,,
7670,expressing,VBG,Metaphor,,
,this,DT,,,
,by,IN,,,
,losing,VBG,,,
,your,PRP$,,,
,temper,NN,,,
,could,MD,,,
,well,RB,,,
,clear,VB,,,
,the,DT,,,
,air,NN,,,
7671,we,PRP,Metaphor,,
,need,VBP,,,
,to,TO,,,
,clear,VB,,,
,the,DT,,,
,air,NN,,,
,",",",",,,
,I,PRP,,,
,think,VBP,,,
,",",",",,,
,if,IN,,,
,we,PRP,,,
,'re,VBP,,,
,to,TO,,,
,go,VB,,,
,on,IN,,,
,seeing,VBG,,,
,each,DT,,,
,other,JJ,,,
7672,it,PRP,Metaphor,,
,'s,VBZ,,,
,a,DT,,,
,good,JJ,,,
,thing,NN,,,
,that,IN,,,
,all,PDT,,,
,this,DT,,,
,has,VBZ,,,
,happened,VBN,,,
,",",",",,,
,to,TO,,,
,clear,VB,,,
,the,DT,,,
,air,NN,,,
7673,They,PRP,Metaphor,,
,pushed,VBD,,,
,for,IN,,,
,the,DT,,,
,statement,NN,,,
,to,TO,,,
,be,VB,,,
,brought,VBN,,,
,forward,RB,,,
,to,TO,,,
,clear,VB,,,
,the,DT,,,
,air,NN,,,
7674,as,RB,Simile,easy to see or understand,
,clear,JJ,,,
,as,IN,,,
,day,NN,,,
7675,I,PRP,Simile,,
,remember,VBP,,,
,as,RB,,,
,clear,JJ,,,
,as,IN,,,
,day,NN,,,
,",",",",,,
,standing,VBG,,,
,talking,VBG,,,
,to,TO,,,
,Penny,VB,,,
7676,There,EX,Simile,,
,'s,VBZ,,,
,no,DT,,,
,point,NN,,,
,in,IN,,,
,denying,VBG,,,
,it,PRP,,,
,.,.,,,
,It,PRP,,,
,was,VBD,,,
,as,RB,,,
,clear,JJ,,,
,as,IN,,,
,day,NN,,,
7677,It,PRP,Simile,,
,was,VBD,,,
,suddenly,RB,,,
,as,RB,,,
,clear,JJ,,,
,as,IN,,,
,day,NN,,,
7678,I,PRP,Simile,,
,saw,VBD,,,
,their,PRP$,,,
,uncircumcised,JJ,,,
,members,NNS,,,
,as,RB,,,
,clear,JJ,,,
,as,IN,,,
,day,NN,,,
,and,CC,,,
,shuddered,VBD,,,
7679,it,PRP,Simile,,
,'s,VBZ,,,
,as,RB,,,
,clear,JJ,,,
,as,IN,,,
,day,NN,,,
,that,IN,,,
,this,DT,,,
,can,MD,,,
,not,RB,,,
,continue,VB,,,
7680,I,PRP,Simile,,
,heard,VBD,,,
,as,RB,,,
,clear,JJ,,,
,as,IN,,,
,day,NN,,,
,inside,IN,,,
,my,PRP$,,,
,head,NN,,,
7681,the,DT,Simile,,
,water,NN,,,
,barely,RB,,,
,ripples,VBZ,,,
,and,CC,,,
,its,PRP$,,,
,bottom,NN,,,
,jaw,NN,,,
,is,VBZ,,,
,as,RB,,,
,clear,JJ,,,
,as,IN,,,
,day,NN,,,
,below,IN,,,
,the,DT,,,
,surface,NN,,,
7682,its,PRP$,Simile,,
,bottom,NN,,,
,jaw,NN,,,
,is,VBZ,,,
,as,RB,,,
,clear,JJ,,,
,as,IN,,,
,day,NN,,,
,below,IN,,,
,the,DT,,,
,surface,NN,,,
7683,the,DT,Simile,,
,ignorance,NN,,,
,of,IN,,,
,the,DT,,,
,government,NN,,,
,'s,POS,,,
,civil,JJ,,,
,servants,NNS,,,
,could,MD,,,
,be,VB,,,
,seen,VBN,,,
,as,RB,,,
,clear,JJ,,,
,as,IN,,,
,day,NN,,,
7684,The,DT,Simile,,
,illogicality,NN,,,
,of,IN,,,
,these,DT,,,
,statements,NNS,,,
,is,VBZ,,,
,as,RB,,,
,clear,JJ,,,
,as,IN,,,
,day,NN,,,
7685,you,PRP,Simile,,
,can,MD,,,
,see,VB,,,
,glass,JJ,,,
,balconies,NNS,,,
,and,CC,,,
,shop,NN,,,
,signs,NNS,,,
,as,RB,,,
,clear,JJ,,,
,as,IN,,,
,day,NN,,,
7686,The,DT,Simile,,
,red,NN,,,
,of,IN,,,
,her,PRP$,,,
,underbody,NN,,,
,is,VBZ,,,
,as,RB,,,
,clear,JJ,,,
,as,IN,,,
,day,NN,,,
,about,IN,,,
,halfway,RB,,,
,down,IN,,,
,her,PRP$,,,
,slender,NN,,,
,hull,NN,,,
7687,The,DT,Simile,,
,red,NN,,,
,of,IN,,,
,her,PRP$,,,
,underbody,NN,,,
,is,VBZ,,,
,as,RB,,,
,clear,JJ,,,
,as,IN,,,
,day,NN,,,
7688,a,DT,Simile,,
,plane,NN,,,
,passing,NN,,,
,over,IN,,,
,head,NN,,,
,leaving,VBG,,,
,vapour,NN,,,
,trails,NNS,,,
,could,MD,,,
,be,VB,,,
,seen,VBN,,,
,as,RB,,,
,clear,JJ,,,
,as,IN,,,
,day,NN,,,
7689,it,PRP,Simile,,
,could,MD,,,
,be,VB,,,
,seen,VBN,,,
,as,RB,,,
,clear,JJ,,,
,as,IN,,,
,day,NN,,,
7690,as,RB,Simile,not easy to understand,
,clear,JJ,,,
,as,IN,,,
,mud,NN,,,
7691,What,WP,Simile,,
,this,DT,,,
,really,RB,,,
,means,VBZ,,,
,",",",",,,
,of,IN,,,
,course,NN,,,
,",",",",,,
,is,VBZ,,,
,still,RB,,,
,as,RB,,,
,clear,JJ,,,
,as,IN,,,
,mud,NN,,,
7692,that,DT,Simile,,
,'s,VBZ,,,
,about,RB,,,
,as,RB,,,
,clear,JJ,,,
,as,IN,,,
,mud,NN,,,
7693,it,PRP,Simile,,
,was,VBD,,,
,as,RB,,,
,clear,JJ,,,
,as,IN,,,
,mud,NN,,,
7694,Its,PRP$,Simile,,
,future,NN,,,
,is,VBZ,,,
,as,RB,,,
,clear,JJ,,,
,as,IN,,,
,mud,NN,,,
7695,Tax,NN,Simile,,
,rules,NNS,,,
,are,VBP,,,
,as,RB,,,
,clear,JJ,,,
,as,IN,,,
,mud,NN,,,
7696,If,IN,Simile,,
,that,DT,,,
,'s,VBZ,,,
,clear,JJ,,,
,as,IN,,,
,mud,NN,,,
,-,:,,,
,get,VB,,,
,back,RB,,,
,to,TO,,,
,me,PRP,,,
7697,That,DT,Simile,,
,'s,VBZ,,,
,about,RB,,,
,as,RB,,,
,clear,JJ,,,
,as,IN,,,
,mud,NN,,,
,",",",",,,
,and,CC,,,
,its,PRP$,,,
,no,DT,,,
,surprise,NN,,,
,that,IN,,,
,the,DT,,,
,Mexicans,NNP,,,
,want,VBP,,,
,some,DT,,,
,straight,JJ,,,
,answers,NNS,,,
7698,was,VBD,Simile,,
,it,PRP,,,
,as,RB,,,
,clear,JJ,,,
,as,IN,,,
,mud,NN,,,
,?,.,,,
7699,just,RB,Simile,,
,some,DT,,,
,of,IN,,,
,the,DT,,,
,',POS,,,
,clear,JJ,,,
,as,IN,,,
,mud,NN,,,
,','',,,
,paras,NNS,,,
,in,IN,,,
,the,DT,,,
,blue,JJ,,,
,book,NN,,,
7700,is,VBZ,Simile,,
,it,PRP,,,
,just,RB,,,
,as,RB,,,
,clear,JJ,,,
,as,IN,,,
,mud,NN,,,
,?,.,,,
7701,It,PRP,Simile,,
,shows,VBZ,,,
,how,WRB,,,
,to,TO,,,
,make,VB,,,
,learning,NN,,,
,in,IN,,,
,the,DT,,,
,workplace,NN,,,
,be,VB,,,
,as,RB,,,
,clear,JJ,,,
,as,IN,,,
,mud,NN,,,
7702,sure,NN,Simile,,
,is,VBZ,,,
,as,RB,,,
,clear,JJ,,,
,as,IN,,,
,mud,NN,,,
7703,they,PRP,Simile,,
,have,VBP,,,
,problem,NN,,,
,understanding,NN,,,
,it,PRP,,,
,because,IN,,,
,it,PRP,,,
,is,VBZ,,,
,as,RB,,,
,clear,JJ,,,
,as,IN,,,
,mud,NN,,,
7704,If,IN,Simile,,
,that,DT,,,
,seems,VBZ,,,
,about,IN,,,
,as,RB,,,
,clear,JJ,,,
,as,IN,,,
,mud,NN,,,
,",",",",,,
,the,DT,,,
,photos,NNS,,,
,below,IN,,,
,should,MD,,,
,show,VB,,,
,you,PRP,,,
,what,WP,,,
,I,PRP,,,
,mean,VBP,,,
7705,this,DT,Simile,,
,will,MD,,,
,make,VB,,,
,anythin,JJ,,,
,as,RB,,,
,clear,JJ,,,
,as,IN,,,
,mud,NN,,,
,easy,VBP,,,
,to,TO,,,
,understand,VB,,,
7706,in,IN,Metaphor,not in danger,
,the,DT,,,
,clear,JJ,,,
7707,I,PRP,Metaphor,,
,think,VBP,,,
,it,PRP,,,
,puts,VBZ,,,
,you,PRP,,,
,in,IN,,,
,the,DT,,,
,clear,JJ,,,
7708,I,PRP,Metaphor,,
,'m,VBP,,,
,in,IN,,,
,the,DT,,,
,clear,JJ,,,
7709,I,PRP,Metaphor,,
,'m,VBP,,,
,in,IN,,,
,the,DT,,,
,clear,JJ,,,
,on,IN,,,
,this,DT,,,
7710,Cusack,NNP,Metaphor,,
,found,VBD,,,
,him,PRP,,,
,in,IN,,,
,the,DT,,,
,clear,JJ,,,
7711,we,PRP,Metaphor,,
,were,VBD,,,
,in,IN,,,
,the,DT,,,
,clear,JJ,,,
,for,IN,,,
,a,DT,,,
,year,NN,,,
,or,CC,,,
,so,RB,,,
7712,we,PRP,Metaphor,,
,were,VBD,,,
,in,IN,,,
,the,DT,,,
,clear,JJ,,,
,for,IN,,,
,a,DT,,,
,year,NN,,,
7713,Marley,NNP,Metaphor,,
,'s,POS,,,
,widow,NN,,,
,in,IN,,,
,the,DT,,,
,clear,JJ,,,
7714,you,PRP,Metaphor,,
,'re,VBP,,,
,in,IN,,,
,the,DT,,,
,clear,JJ,,,
7715,I,PRP,Metaphor,,
,need,VBP,,,
,you,PRP,,,
,to,TO,,,
,back,VB,,,
,up,RP,,,
,my,PRP$,,,
,story,NN,,,
,and,CC,,,
,put,VB,,,
,me,PRP,,,
,in,IN,,,
,the,DT,,,
,clear,JJ,,,
7716,I,PRP,Metaphor,,
,need,VBP,,,
,you,PRP,,,
,to,TO,,,
,put,VB,,,
,me,PRP,,,
,in,IN,,,
,the,DT,,,
,clear,JJ,,,
7717,only,RB,Metaphor,,
,Mr,NNP,,,
,Merrivale,NNP,,,
,is,VBZ,,,
,in,IN,,,
,the,DT,,,
,clear,JJ,,,
7718,I,PRP,Metaphor,,
,will,MD,,,
,put,VB,,,
,you,PRP,,,
,in,IN,,,
,the,DT,,,
,clear,JJ,,,
,I,PRP,,,
,can,MD,,,
,get,VB,,,
,you,PRP,,,
,an,DT,,,
,appointment,NN,,,
,on,IN,,,
,that,DT,,,
7719,I,PRP,Metaphor,,
,will,MD,,,
